sentiment_label,positive_score,negative_score,score_margin,sentiment_strength,signal_status,text_original_short,text_clean_short
netral,0,0,0,0,no_lexicon_signal,Mantaaap.. Terimakasih sudah berbagi ilmu👍👍,mantaaap terimakasih sudah berbagi ilmu
netral,0,0,0,0,no_lexicon_signal,"288,3 juta jiwa rakyat Indonesia gaada apa yang pengen nggulingin Pak Wo, cape banget tiap denger dia pidato, asbunnyaaa...",288 3 juta jiwa rakyat indonesia gaada apa yang pengen nggulingin pak wo cape banget tiap denger dia pidato asbunnyaaa a...
netral,0,0,0,0,no_lexicon_signal,Siapa yang nonton di 2021,siapa yang nonton di 2021
netral,0,0,0,0,no_lexicon_signal,Plot twist yg saling terhubung 🤣🤣🤣😊,plot twist yang saling terhubung
netral,0,0,0,0,no_lexicon_signal,Paling stres yg awal pake bahas rank segala,paling stres yang awal pake bahas rank segala
negatif,0,1,1,1,weak_single_signal,😊jmn sekarang pda mahal cwe perempuan kekuranggan ekonomi uang kabur ceraii selingkuh bosss😊😊😊😊😊,jmn sekarang pda mahal cwe perempuan kekuranggan ekonomi uang kabur ceraii selingkuh bosss
positif,1,0,1,1,weak_single_signal,GILAAAA BISA GINI YAAAA SEREM JUGA,gilaaaa bisa gini yaaaa serem juga
positif,1,0,1,1,weak_single_signal,Dollar hasil ekspor tidak semuanya masuk ke Indonesia/ditukar rupiah oleh eksportir tp disimpan di bank luar negeri yg m...,dollar hasil ekspor tidak semuanya masuk ke indonesia ditukar rupiah oleh eksportir tapi disimpan di bank luar negeri ya...
positif,1,0,1,1,weak_single_signal,gapantes banget channel bagus gini subscribenya cuma seribu,gapantes banget channel bagus gini subscribenya cuma seribu
positif,1,0,1,1,weak_single_signal,"Min bahas juga dong mengenai MMT (Modern Monetary Theory).  Denger2 jaman jerman porak poranda akibat kalah perang, dala...",min bahas juga dong mengenai mmt modern monetary theory denger2 jaman jerman porak poranda akibat kalah perang dalam wak...
positif,2,0,2,2,clearer_signal,"GK usah cari pembenaran, lebih baik anda mundur dari jeratan Wowo. Mata uang kita lagi sedang diserang Amerika. Tapi pre...",tidak usah cari pembenaran lebih baik anda mundur dari jeratan wowo mata uang kita lagi sedang diserang amerika tapi pre...
positif,3,0,3,3,clearer_signal,"Ya jelas boncos! Kebocoran pendapatan sekitar 50% dari PDB, 10 % boncos karena investasi bodong, 10 % lagi karena pemals...",ya jelas boncos kebocoran pendapatan sekitar 50 dari pdb 10 boncos karena investasi bodong 10 lagi karena pemalsuan rupi...
negatif,0,3,3,3,clearer_signal,menurutku bukan itu penyebab nya sekarang  penyebabnya  1. jalur penerbangan banyak ditutup dikarenakan corona 2. negara...,menurutku bukan itu penyebab nya sekarang penyebabnya 1 jalur penerbangan banyak ditutup dikarenakan corona 2 negara ind...
positif,3,0,3,3,clearer_signal,"iyaa bang, aku mewakili mahasiswa yang abroad sangat teramat tersiksa dengan keadaan rupiah yang kian hari kian merosot....",iyaa bang aku mewakili mahasiswa yang abroad sangat teramat tersiksa dengan keadaan rupiah yang kian hari kian merosot t...
positif,2,0,2,2,clearer_signal,Fungsi pemerintah itu mensejahterakan rakyat bukan mensejahterakan golongannya ... Harusnya kita sudah bisa mandiri deng...,fungsi pemerintah itu mensejahterakan rakyat bukan mensejahterakan golongannya harusnya kita sudah bisa mandiri dengan s...
netral,1,1,0,2,mixed_or_ambiguous_signal,"Badut uzur bolak balik ke luar negeri bawa rombongan sirkusnya menghamburkan uang negara, ke Amerika, ke Perancis, ke Ch...",badut uzur bolak balik ke luar negeri bawa rombongan sirkusnya menghamburkan uang negara ke amerika ke perancis ke china...
netral,1,1,0,2,mixed_or_ambiguous_signal,"Merasa bisa melawan pasar valas dan bursa efek , nyatanya Nol Besar walau pak Purbaya sudah gagal berangkat haji",merasa bisa melawan pasar valas dan bursa efek nyatanya nol besar walau pak purbaya sudah gagal berangkat haji
negatif,1,2,1,3,mixed_or_ambiguous_signal,"Rupiah melemah terhadap US Dollar atau Singapore Dollar itu biasa, tapi kalo sampe melemah terhadap Dollar Zimbabwe ... ...",rupiah melemah terhadap us dollar atau singapore dollar itu biasa tapi kalo sampe melemah terhadap dollar zimbabwe sudah...
netral,1,1,0,2,mixed_or_ambiguous_signal,"Mau investasi reel bangun pabrik susah di Afrika ini birokrasi berbelit belit, antara pusat dan daerah engak pernah sing...",mau investasi reel bangun pabrik susah di afrika ini birokrasi berbelit belit antara pusat dan daerah engak pernah singk...
netral,1,1,0,2,mixed_or_ambiguous_signal,SAYA BERHARAP 1 DOLLAR USA 1 JUTA RUPIAH BIAR HANCUR NEGARA INDONESIA . BIAR KAPOK😂,saya berharap 1 dollar usa 1 juta rupiah biar hancur negara indonesia biar kapok
