column,dtype,missing_count,missing_percentage,unique_count
video_id,str,0,0.0,17
video_title,str,0,0.0,17
video_url,str,0,0.0,17
channel_title,str,0,0.0,12
video_published_at,str,0,0.0,17
comment_id,str,0,0.0,3670
published_at,str,0,0.0,3659
comment_updated_at,str,0,0.0,3658
text_original,str,0,0.0,3670
like_count,int64,0,0.0,108
reply_count,int64,0,0.0,43
crawl_timestamp,str,0,0.0,18
source_file,str,0,0.0,1
text_original_char_count,int64,0,0.0,467
text_original_word_count,int64,0,0.0,126
text_clean,str,0,0.0,3661
text_clean_char_count,int64,0,0.0,461
text_clean_word_count,int64,0,0.0,131
char_count_reduction,int64,0,0.0,67
word_count_reduction,int64,0,0.0,27
